"category","room_count","bathroom_count","size","type","price","city","region"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.231259588193023,"Ariana","Raoued"
"Appartements",0.302406629355864,1,-0.376029841324641,"À Louer",-0.78880480327268,"Ariana","Ariana"
"Colocations",-0.719845288639747,1,-1.01264663035778,"À Louer",-0.792880974172842,"Ariana","Ariana"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Raoued"
"Maisons et Villas",0.302406629355864,1,1.26098475904629,"À Vendre",-0.371817205439995,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",1.78339959234692,"Ariana","Ariana"
"Locations de vacances",-1.74209720663536,1,-1.4673729082386,"À Louer",-0.793091810598712,"Ariana","Ennasr"
"Appartements",-0.719845288639747,1,-0.466975096900804,"À Vendre",0.284118341712543,"Ariana","Jardins D'el Menzah"
"Maisons et Villas",-1.74209720663536,1,0.133263589901872,"À Vendre",-0.418669744522319,"Ariana","Raoued"
"Locations de vacances",-0.719845288639747,1,-1.10359188593395,"À Louer",-0.793068384329171,"Ariana","Ennasr"
"Maisons et Villas",-0.719845288639747,1,-0.503353199131269,"À Vendre",-0.254685857734185,"Ariana","Ghazela"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","La Soukra"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Borj Louzir"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.143560724465571,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.424675958959515,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",1.54913689693529,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.00300310721859813,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",1.08061150611205,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.471528498041839,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.377823419877191,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.518381037124164,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.0498556463009223,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",1.08061150611205,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",-0.0907019709460501,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Sidi Thabet"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",0.237265802630219,"Ariana","Sidi Thabet"
"Appartements",0.302406629355864,1,0.587989867782688,"À Vendre",0.799496271618108,"Ariana","Borj Louzir"
"Maisons et Villas",0.302406629355864,1,-0.194139330172315,"À Vendre",1.08061150611205,"Ariana","Ghazela"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Raoued"
"Terrains et Fermes",0.302406629355864,1,-0.194139330172315,"À Vendre",2.24630267848028,"Ariana","Ghazela"
